Number of clusters;Number of nodes;Diameter;Avr diameter;Degree;Cost;Traffic
1;9;3;1,536;5;15;0,614
2;18;4;2,2;6;34;0,733
3;27;5;2,482;7;57;0,709
4;36;5;2,435;8;85;0,609
5;45;6;2,732;9;105;0,607
6;54;6;2,881;9;132;0,64
7;63;7;3,106;10;155;0,621
8;72;6;3,03;10;184;0,606
9;81;5;3,038;11;212;0,552
10;90;7;3,437;10;230;0,687
11;99;7;3,321;11;260;0,604
12;108;7;3,385;11;287;0,615
13;117;7;3,572;11;309;0,649
14;126;7;3,571;11;338;0,649
15;135;7;3,545;11;367;0,645
16;144;7;3,561;11;395;0,647
17;153;8;3,905;11;412;0,71
18;162;8;3,868;11;441;0,703
19;171;8;3,802;11;471;0,691
20;180;8;3,855;11;498;0,701
21;189;9;4,042;11;519;0,735
22;198;8;4,059;11;548;0,738
23;207;8;4,053;11;577;0,737
24;216;8;4,032;11;606;0,733
25;225;7;4,05;11;634;0,736
26;234;9;4,365;11;650;0,794
27;243;9;4,349;11;679;0,791
28;252;9;4,315;11;708;0,785
29;261;9;4,267;11;738;0,776
30;270;9;4,308;11;765;0,783
31;279;9;4,497;11;785;0,818
32;288;9;4,526;11;814;0,823
33;297;9;4,529;11;843;0,823
34;306;9;4,514;11;872;0,821
35;315;9;4,498;11;901;0,818
36;324;9;4,516;11;929;0,821
37;333;10;4,801;11;944;0,873
38;342;10;4,802;11;973;0,873
39;351;10;4,778;11;1002;0,869
40;360;10;4,751;11;1031;0,864
41;369;10;4,715;11;1061;0,857
42;378;10;4,75;11;1088;0,864
43;387;11;4,952;11;1107;0,9
44;396;10;4,983;11;1136;0,906
45;405;10;4,994;11;1165;0,908
46;414;10;4,983;11;1194;0,906
47;423;10;4,963;11;1223;0,902
48;432;10;4,952;11;1252;0,9
49;441;9;4,97;11;1280;0,904
50;450;11;5,239;11;1294;0,953
